Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
28;Cereais e derivados;Creme de milho, pó;5,7;333;1393;4,8;1,6;NA;86,1;3,7;1,7;323;30;0,2;303;4,3;593;165;0,04;0,8;NA;;;0,74;Tr;2,05;Tr;96,3
29;Cereais e derivados;Curau, milho verde;81,6;78;328;2,4;1,6;4;13,9;0,5;0,5;52;15;0,06;74;0,4;20;161;0,03;0,4;12;20;16;0,04;0,07;Tr;Tr;Tr
30;Cereais e derivados;Curau, milho verde, mistura para;3,9;402;1683;2,2;13,4;NA;79,8;2,5;0,7;30;8;0,05;44;0,9;222;55;0,03;0,2;NA;;;0,13;Tr;Tr;Tr;Tr
31;Cereais e derivados;Farinha, de arroz, enriquecida;12,7;363;1519;1,3;0,3;NA;85,5;0,6;0,2;1;4;0,04;35;31,4;17;12;Tr;8,5;NA;;;3,23;Tr;3,47;24,42;173,6
32;Cereais e derivados;Farinha, de centeio, integral;10,8;335;1404;12,5;1,8;NA;73,3;15,5;1,7;33;120;3,86;339;4,7;41;333;0,56;2,7;NA;;;0,29;0,03;0,08;Tr;Tr
33;Cereais e derivados;Farinha, de milho, amarela;11,8;350;1466;7,2;1,5;NA;79,1;5,5;0,5;1;30;Tr;84;2,3;44;57;0,27;0,6;NA;18;9;0,25;Tr;0,25;Tr;Tr
34;Cereais e derivados;Farinha, de rosca;9,8;370;1550;11,4;1,5;NA;75,8;4,8;1,6;35;56;1,62;194;6,7;332;212;0,26;1,7;NA;;;0,25;Tr;0,09;Tr;Tr
35;Cereais e derivados;Farinha, de trigo;13;360;1508;9,8;1,4;NA;75,1;2,3;0,8;17;31;0,46;114;0,9;0;151;0,15;0,8;NA;;;0,31;Tr;Tr;0,89;Tr
36;Cereais e derivados;Farinha, láctea, de cereais;2,7;414;1735;11,9;5,8;11;77,8;1,9;1,9;196;57;1,49;296;8,7;125;365;0,19;1,7;492;;;1,43;1,13;1,14;9,5;24,3
37;Cereais e derivados;Lasanha, massa fresca, cozida;59,6;163;685;5,8;1,2;NA;32,5;1,6;0,9;9;3;0,2;42;1,2;206;53;0,07;0,4;NA;;;0,04;Tr;Tr;3,96; 
