Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
121;Verduras;Farinha, de mandioca, crua;9,4;360;1509;1,6;0,3;NA;87,9;6,4;0,9;64;37;Tr;41;1,1;1;340;0,08;0,4;NA;;;0,14;Tr;0,04;Tr;Tr
122;Verduras;Farinha, de mandioca, torrada;8,3;365;1528;1,2;0,3;NA;89,2;6,5;0,9;75;40;0,37;38;1,2;10;327;Tr;0,4;NA;;;Tr;Tr;0,81;Tr;Tr
123;Verduras;Farinha, de puba;9,8;360;1506;1,6;0,5;NA;87,3;4,2;0,8;41;27;0,16;32;1,4;3;337;0,07;0,3;NA;;;0,09;Tr;Tr;Tr;Tr
124;Verduras;Fécula, de mandioca;17,8;330;1384;0,5;0,3;NA;81,1;0,6;0,3;11;3;Tr;60;0,1;2;48;Tr;Tr;NA;;;0,03;Tr;Tr;Tr;Tr
125;Verduras;Feijão, broto, cru;87,5;38;162;4,2;0,1;NA;7,8;2;0,5;14;25;0,19;74;0,8;1;189;0,17;0,6;NA;;;Tr;0,04;0,15;Tr;12
126;Verduras;Inhame, cru;73,3;96;404;2,1;0,2;NA;23,2;1,7;1,2;11;28;0,15;64;0,4;Tr;567;0,17;0,3;NA;;;0,08;Tr;0,11;Tr;5,6
127;Verduras;Jiló, cru;91,6;27;114;1,4;0,2;NA;6,2;4,8;0,6;19;20;0,14;29;0,3;Tr;212;0,07;0,1;NA;12;6;0,07;0,04;Tr;Tr;6,8
128;Verduras;Jurubeba, crua;66,6;125;526;4,4;3,9;NA;23,1;23,9;2;151;65;0,52;155;0,9;0;619;1,16;0,6;NA;;;0,13;0,02;0,2;Tr;13,8
129;Verduras;Mandioca, cozida;68,7;125;524;0,6;0,3;NA;30,1;1,6;0,3;18;26;0,06;22;0,1;0;100;0,01;0,2;NA;;;0,06;Tr;0,03;Tr;11,1
130;Verduras;Mandioca, crua;61,8;151;633;1,1;0,3;NA;36,2;1,9;0,6;15;44;0,05;29;0,3;2;208;0,07;0,2;NA;;;Tr;Tr;0,04;Tr;16,5
131;Verduras;Mandioca, farofa, temperada;6,4;405;1697;2,1;9,1;NA;80,3;7,8;2,1;65;34;0,29;44;1,4;574;201;Tr;0,2;NA;;;0,1;Tr;0,15;Tr;Tr
132;Verduras;Mandioca, frita;36,6;300;1255;1,4;11,2;NA;50,3;1,9;0,6;23;94;0,18;56;0,3;8;176;0,12;0,4;NA;;;0,05;Tr;0,04;Tr;Tr
133;Verduras;Manjericão, cru;93;21;88;2;0,4;NA;3,6;3,3;1;210;57;0,17;39;1;3;251;0,16;0,5;NA;1034;517;0,06;0,21;0,06;0,9;2,3
134;Verduras;Maxixe, cru;95,1;13;57;1,4;0,1;NA;2,7;2,2;0,7;20;9;0,07;24;0,3;10;327;0,02;0,2;NA;5;2;0,06;0,02;0,04;Tr;9,6
135;Verduras;Mostarda, folha, crua;93,4;18;75;2,1;0,2;NA;3,2;1,9;1,1;68;15;0,14;58;1,1;2;363;0,05;0,3;NA;;;0,05;0,04;0,05;Tr;38,6
136;Verduras;Nhoque, batata, cozido;55;180;756;5,9;1,9;15;36,8;1,8;0,5;11;17;0,3;68;1,6;7;163;0,1;0,5;15;;;0,08;Tr;0,04;Tr;Tr
137;Verduras;Nabo, cru;93,8;18;76;1,2;0,1;NA;4,1;2,6;0,8;42;14;4,42;16;0,2;2;279;0,02;0,2;NA;;;0,07;Tr;0,03;Tr;9,6
138;Verduras;Palmito, juçara, em conserva;91,4;23;97;1,8;0,4;NA;4,3;3,1;2,1;58;33;10,82;40;0,3;513;243;0,23;0,7;NA;;;0,06;0,04;Tr;Tr;2
139;Verduras;Palmito, pupunha, em conserva;89,4;29;123;2,5;0,5;NA;5,5;2,5;2,1;32;25;0,14;54;0,2;562;206;0,08;0,4;NA;;;0,03;Tr;Tr;Tr;8,7
140;Verduras;Pão, de queijo, assado;33,7;363;1519;5,1;24,6;67;34,2;0,6;2,3;102;8;0,03;93;0,3;773;93;0,01;0,6;61;;;0,04;0,1;0,04;Tr; 
141;Verduras;Pão, de queijo, cru;41,8;294;1232;3,6;14;63;38,5;1;2;87;6;Tr;78;0,3;404;58;Tr;0,4;47;;;Tr;0,08;Tr;Tr; 
142;Verduras;Pepino, cru;96,8;9;39;0,9;Tr;NA;2;1,1;0,3;9;9;0,08;12;0,1;Tr;153;0,04;0,1;NA;3;1;Tr;0,03;Tr;Tr;5
143;Verduras;Pimentão, amarelo, cru;91,9;27;116;1,2;0,4;NA;6;1,9;0,5;9;10;0,08;22;0,4;Tr;221;0,04;0,1;NA;40;20;0,04;0,03;0,06;Tr;201,4
144;Verduras;Pimentão, verde, cru;93,5;21;89;1,1;0,1;NA;4,9;2,6;0,4;8;7;0,14;16;0,4;Tr;174;0,07;0,1;NA;46;23;Tr;Tr;Tr;Tr;100,2
145;Verduras;Pimentão, vermelho, cru;92,9;23;97;1;0,1;NA;5,5;1,6;0,4;6;11;0,06;19;0,3;Tr;210;0,04;0,2;NA;86;43;0,05;0,06;0,02;Tr;158,2
146;Verduras;Polvilho, doce;12,6;351;1469;0,4;Tr;NA;86,8;0,2;0,2;27;4;0,09;8;0,5;1;37;Tr;Tr;NA;;;Tr;Tr;Tr;Tr;Tr
147;Verduras;Quiabo, cru;90,6;29;125;1,9;0,3;NA;6,4;4,6;0,8;112;49;0,46;55;0,4;0;248;0,17;0,6;NA;49;24;0,1;Tr;0,03;Tr;5,6
148;Verduras;Rabanete, cru;95,1;13;57;1,4;0,1;NA;2,7;2,2;0,7;20;9;0,07;24;0,3;10;327;0,02;0,2;NA;;;0,06;0,02;0,04;Tr;9,6
149;Verduras;Repolho, branco, cru;94,7;17;71;0,9;0,1;NA;3,9;1,9;0,4;34;8;0,13;14;0,1;3;150;0,02;0,1;NA;6;3;Tr;0,03;0,06;Tr;18,7
150;Verduras;Repolho, roxo, cru;90,1;30;129;1,9;0,1;NA;7,2;2;0,7;43;18;0,25;57;0,5;2;328;0,9;0,3;NA;;;0,07;Tr;0,09;Tr;43,2
151;Verduras;Repolho, roxo, refogado;88,7;41;174;1,8;1,2;NA;7,6;1,8;0,7;42;17;0,26;59;0,5;3;321;0,02;0,3;NA;;;0,07;Tr;0,07;0,63;40,5
152;Verduras;Rúcula, crua;94,8;13;54;1,8;0,1;NA;2,2;1,7;1,1;116;17;0,24;25;0,9;9;233;0,04;0,2;NA;532;266;0,04;Tr;Tr;0,35;46,3
153;Verduras;Salsa, crua;88,7;33;139;3,3;0,6;NA;5,7;1,9;1,8;179;20;1,88;49;3,2;2;711;0,2;1,3;NA;1743;871;0,12;0,15;0,47;0,72;51,7
154;Verduras;Seleta de legumes, enlatada;82,1;56;236;3,4;0,4;NA;12,7;3,1;1,4;16;15;0,13;49;1,1;398;122;0,08;0,5;NA;244;122;0,03;Tr;Tr;3,72;Tr
155;Verduras;Serralha, crua;90,2;30;127;2,7;0,7;NA;4,9;3,5;1,4;126;29;0,23;48;1,3;19;265;0,2;1,3;NA;1134;567;Tr;0,11;0,08;Tr;1,5
156;Verduras;Taioba, crua;89,2;34;143;2,9;0,9;NA;5,4;4,5;1,5;141;37;0,66;52;1,9;1;290;0,16;0,6;NA;1160;580;Tr;0,1;0,1;Tr;17,9
157;Verduras;Tomate, com semente, cru;95,1;15;64;1,1;0,2;NA;3,1;1,2;0,5;6;10;0,07;20;0,2;1;222;0,04;0,1;NA;54;27;0,12;Tr;0,02;Tr;21,2
158;Verduras;Tomate, extrato;79,7;60;254;2,4;0,2;NA;15;2,8;2,8;29;29;0,18;47;2,1;497;679;0,2;0,4;NA;166;83;Tr;Tr;0,11;2,42;18
159;Verduras;Tomate, molho industrializado;88,1;38;160;1,4;0,9;NA;7,7;3,1;1,9;11;16;0,08;27;1,6;418;388;0,08;0,1;NA;76;38;Tr;Tr;0,06;Tr;2,7
160;Verduras;Tomate, purê;90,8;27;116;1,4;Tr;NA;6,9;1;0,9;13;15; ;30;1,2;103;308;0,09;0,3;NA;90;45;Tr;Tr;0,07;1,18;5,4
161;Verduras;Tomate, salada;93,6;20;85;0,8;Tr;NA;5,1;2,3;0,4;6;9;0,04;23;0,3;5;161;0,07;0,2;NA;;;0,06;0,04;0,05;Tr;12,8
162;Verduras;Vagem, crua;92,2;24;104;1,8;0,2;NA;5,3;2,4;0,5;41;17;0,5;27;0,4;Tr;208;0,06;0,3;NA;32;16;Tr;0,08;Tr;Tr;1,2
163;Frutas e derivados;Abacate, cru;83,8;96;402;1,2;8,4;NA;6;6,3;0,5;7;14;0,17;21;0,2;Tr;206;0,15;0,2;NA;;;Tr;0,04;Tr;Tr;8,7
164;Frutas e derivados;Abacaxi, cru;86,3;48;202;0,9;0,1;NA;12,3;1;0,4;22;18;1,62;12;0,3;Tr;131;0,11;0,1;NA;;;0,17;0,02;Tr;Tr;34,6
165;Frutas e derivados;Abacaxi, polpa, congelada;91,3;30;127;0,5;0,1;NA;7,8;0,3;0,3;13;10;1,02;7;0,4;1;106;0,04;0,1;NA;2;1;0,05;Tr;Tr;Tr;1,2
166;Frutas e derivados;Abiu, cru;83,1;62;261;0,8;0,7;NA;14,9;1,7;0,4;5;9;0,08;20;0,2;Tr;128;0,09;0,1;NA;;;Tr;0,04;0,05;Tr;10,3
167;Frutas e derivados;Açaí, polpa, com xarope de guaraná e glucose;73,9;110;461;0,7;3,7;NA;21,5;1,7;0,3;22;12;3,29;10;0,3;15;75;0,14;0,2;NA;;;Tr;Tr;0,07;Tr;10,3
168;Frutas e derivados;Açaí, polpa, congelada;88,7;58;242;0,8;3,9;NA;6,2;2,6;0,3;35;17;6,16;16;0,4;5;123;0,18;0,3;NA;;;Tr;0,04;0,07;Tr;Tr
169;Frutas e derivados;Acerola, crua;90,5;33;140;0,9;0,2;NA;8;1,5;0,4;12;13;0,07;9;0,2;Tr;164;0,07;0,1;NA;247;123;Tr;0,04;Tr;1,38;941,4
170;Frutas e derivados;Acerola, polpa, congelada;93,6;21;91;0,6;Tr;NA;5,5;0,7;0,3;7;8;0,03;12;0,2;1;111;0,04;0,1;NA;192;96;Tr;0,1;Tr;Tr;623,2
171;Frutas e derivados;Ameixa, calda, enlatada ;52,2;182;765;0,4;Tr;NA;46,9;0,5;0,5;13;9;0,1;20;2,2;2;221;0,03;0,1;NA;;;Tr;0,23;0,37;Tr;4,3
172;Frutas e derivados;Ameixa, crua;84,8;52;219;0,8;Tr;NA;13,9;2,4;0,6;5;5;0,03;13;0,1;Tr;134;0,06;0,1;NA;27;13;0,07;Tr;0,03;Tr;7,6
173;Frutas e derivados;Ameixa, em calda, enlatada, drenada ;50,3;177;742;1;0,3;NA;47,7;4,5;0,7;39;14;0,2;26;2,7;2;263;0,16;0,2;NA;;;Tr;0,22;0,08;Tr;5,2
174;Frutas e derivados;Atemóia, crua;72,7;96;405;1;0,3;NA;25,3;2,1;0,7;22;24;0,16;23;0,2;0;300;0,17;0,2;NA;;;0,09;0,07;0,07;1,58;10,1
175;Frutas e derivados;Banana, da terra, crua;63,9;128;535;1,4;0,2;NA;33,7;1,5;0,8;4;23;0,16;25;0,3;Tr;328;0,05;0,2;NA;238;119;0,03;0,02;0,14;Tr;15,7
176;Frutas e derivados;Banana, doce em barra;21,1;280;1171;2,2;0,1;NA;75,7;3,8;1;11;49;0,84;36;0,6;9;518;0,16;0,3;NA;27;13;0,03;Tr;0,06;1,41;Tr
177;Frutas e derivados;Banana, figo, crua;70,1;105;439;1,1;0,1;NA;27,8;2,8;0,8;6;30;0,21;15;0,2;Tr;386;0,06;0,1;NA;;;0,09;Tr;0,03;Tr;17,5
178;Frutas e derivados;Banana, maçã, crua;75,2;86;363;1,8;0,1;NA;22,3;2,6;0,6;3;23;0,6;28;0,2;Tr;264;0,11;0,1;NA;6;3;Tr;Tr;0,14;Tr;10,5
179;Frutas e derivados;Banana, nanica, crua;73,8;91;382;1,4;0,1;NA;23,8;1,9;0,8;3;27;0,14;26;0,3;Tr;376;0,1;0,2;NA;13;6;Tr;0,02;0,14;Tr;5,9
180;Frutas e derivados;Banana, ouro, crua;68,2;112;470;1,5;0,2;NA;29,3;2;0,8;3;28;0,09;22;0,3;Tr;354;0,08;0,3;NA;49;24;Tr;Tr;0,14;Tr;7,6
181;Frutas e derivados;Banana, pacova, crua;77,7;77;325;1,2;0,1;NA;20,3;2;0,7;5;30;0,41;19;0,4;0;267;0,06;0,1;NA;;;0,05;0,03;0,17;Tr;Tr
182;Frutas e derivados;Banana, prata, crua;71,9;98;411;1,3;0,1;NA;26;2;0,8;7;26;0,42;22;0,4;Tr;357;0,05;0,1;NA;32;16;Tr;0,02;0,1;Tr;21,6
183;Frutas e derivados;Cacau, cru;79,2;74;310;1;0,1;NA;19,4;2,2;0,3;12;24;0,04;9;0,3;0;71;0,15;0,6;NA;;;0,25;Tr;0,04;Tr;13,6
184;Frutas e derivados;Cajá-Manga, cru;86,9;45;190;1,3;Tr;NA;11,4;2,6;0,4;12;11;0,05;24;0,2;1;119;0,02;0,2;NA;;;0,11;Tr;0,05;Tr;26,7
185;Frutas e derivados;Cajá, polpa, congelada;92,4;26;110;0,6;0,2;NA;6,4;1,4;0,4;9;7;0,07;25;0,3;6;148;0,1;0,1;NA;106;53;0,04;Tr;Tr;Tr;Tr
186;Frutas e derivados;Caju, cru;88,1;43;180;1;0,3;NA;10,3;1,7;0,3;1;10;0,12;15;0,2;2;123;0,07;0,1;NA;14;7;Tr;Tr;Tr;Tr;219,3
187;Frutas e derivados;Caju, polpa, congelada;89,8;36;153;0,5;0,2;NA;9,4;0,8;0,2;0;7;0,05;9;0,1;4;87;0,07;0,1;NA;22;11;Tr;0,02;Tr;2,25;119,7
188;Frutas e derivados;Caju, suco concentrado, envasado;88,4;45;188;0,4;0,2;NA;10,7;0,6;0,3;0;8;0,06;11;0,1;45;106;0,04;0,1;NA;10;5;Tr;0,03;Tr;Tr;138,7
189;Frutas e derivados;Caqui, chocolate, cru;79,7;71;298;0,4;0,1;NA;19,3;6,5;0,5;17;8;0,39;18;0,1;2;163;Tr;0,2;NA;;;Tr;Tr;0,03;Tr;29,6
190;Frutas e derivados;Carambola, crua;87,1;45;191;0,9;0,2;NA;11,5;2;0,4;4;7;0,13;10;0,2;4;132;0,08;0,2;NA;;;0,12;Tr;Tr;Tr;60,9
191;Frutas e derivados;Ciriguela, crua;78,7;75;316;1,4;0,4;NA;18,9;3,9;0,7;27;17;0,06;48;0,4;1;248;0,12;0,5;NA;;;0,14;Tr;Tr;Tr;27
192;Frutas e derivados;Cupuaçu, cru;86,2;49;206;1,2;1;NA;10,4;3,1;1,2;13;18;0,07;21;0,5;3;331;0,07;0,3;NA;;;0,37;0,04;0,07;4,34;24,5
193;Frutas e derivados;Cupuaçu, polpa, congelada;86,6;48;204;0,8;0,6;NA;11,4;1,6;0,6;5;13;0,17;14;0,3;0;291;0,14;0,2;NA;;;0,07;0,07;0,05;Tr;10,5
194;Frutas e derivados;Figo, cru;88,2;41;173;1;0,2;NA;10,2;1,8;0,4;27;11;0,06;14;0,2;Tr;174;0,13;0,1;NA;;;0,05;Tr;Tr;Tr;0,8
195;Frutas e derivados;Figo, enlatado, em calda;48,8;184;771;0,6;0,1;NA;50,3;2;0,2;32;6;0,16;6;0,5;6;39;0,25;0,1;NA;;;Tr;Tr;Tr;Tr;5,2
196;Frutas e derivados;Fruta-pão, crua;80,9;67;280;1,1;0,2;NA;17,2;5,5;0,7;33;24;0,04;27;0,2;0;188;0,07;0,1;NA;;;0,03;Tr;Tr;Tr;9,9
197;Frutas e derivados;Goiaba, branca, com casca, crua;85,7;51;216;0,9;0,5;NA;12,4;6,3;0,5;5;7;0,07;16;0,2;Tr;219;0,04;0,2;NA;;;Tr;Tr;0,03;Tr;99,2
198;Frutas e derivados;Goiaba, doce em pasta;24,8;268;1125;0,6;0;NA;74,1;3,7;0,5;10;6;0,11;53;0,4;3;164;0,06;0,1;NA;136;68;0,07;Tr;Tr;Tr;23,1
199;Frutas e derivados;Goiaba, doce, cascão;20,3;285;1194;0,4;0,1;NA;78,7;4,4;0,5;14;9;0,16;28;0,4;11;250;0,08;0,1;NA;50;25;Tr;Tr;Tr;1,41;34,3
200;Frutas e derivados;Goiaba, vermelha, com casca, crua;85;54;226;1,1;0,4;NA;13;6,2;0,5;4;6;0,09;15;0,2;Tr;197;0,04;0,1;NA;38;19;Tr;Tr;0,03;Tr;80,6
201;Frutas e derivados;Graviola, crua;82,2;61;257;0,8;0,2;NA;15,8;1,9;1;40;23;0,08;19;0,2;4;249;0,04;0,1;NA;;;0,17;0,12;0,03;Tr;19,1
202;Frutas e derivados;Graviola, polpa, congelada;89,2;38;160;0,6;0,1;NA;9,8;1,2;0,3;5;9;0,06;16;0,1;3;169;0,06;0,1;NA;;;Tr;0,09;Tr;Tr;10,5
203;Frutas e derivados;Jabuticaba, crua;83,6;58;242;0,6;0,1;NA;15,3;2,3;0,4;8;17;0,3;14;0,1;Tr;129;0,07;0,3;NA;;;0,06;Tr;Tr;Tr;16,2
204;Frutas e derivados;Jaca, crua;75,1;87;367;1,4;0,3;NA;22,5;2,4;0,8;11;40;0,48;13;0,4;1;233;0,09;0,2;NA;;;0,1;0,04;0,05;Tr;14,8
205;Frutas e derivados;Jambo, cru;92,1;26;112;0,9;0,1;NA;6,5;5,1;0,5;13;14;0,05;18;0,1;21;134;0,02;0,1;NA;;;0,08;Tr;Tr;1,18;3,8
206;Frutas e derivados;Jamelão, cru;87,7;41;171;0,5;0,1;NA;10,6;1,8;1;3;2;Tr;4;0;1;394;0,03;0;NA;7;3;0,17;Tr;0,12;Tr;27,1
207;Frutas e derivados;Kiwi, cru;85,9;51;213;1,3;0,6;NA;11,5;2,7;0,7;23;10;0,05;33;0,3;Tr;268;0,15;0,1;NA;5;2;Tr;Tr;0,06;Tr;70,8
208;Frutas e derivados;Laranja, baía, crua;87,1;45;190;1;0,1;NA;11,5;1,1;0,4;35;9;0,04;23;0,1;Tr;174;0,04;0,1;NA;3;1;0,06;0,02;Tr;Tr;56,9
209;Frutas e derivados;Laranja, baía, suco;90,2;36;153;0,7;Tr;NA;8,7;Tr;0,4;5;7;0,02;21;0,1;Tr;172;0,02;Tr;NA;4;2;0,03;Tr;0,02;Tr;94,5
210;Frutas e derivados;Laranja, da terra, crua;85,4;51;215;1,1;0,2;NA;12,9;4;0,5;51;14;0,04;20;0,1;0;172;0,04;0,2;NA;;;0,07;0,09;0,03;Tr;34,7
211;Frutas e derivados;Laranja, da terra, suco;89,2;40;171;0,7;0,1;NA;9,6;1;0,4;13;10;0,02;14;0,1;Tr;145;0,02;0,1;NA;4;2;0,04;Tr;0,04;Tr;44,3
212;Frutas e derivados;Laranja, lima, crua;87;45;191;1,1;0,1;NA;11,5;1,8;0,4;31;10;0,05;14;0,1;1;129;0,03;0,1;NA;;;0,09;0,05;0,04;Tr;43,5
213;Frutas e derivados;Laranja, lima, suco;89,7;39;164;0,7;0,1;NA;9,2;0,4;0,3;7;10;0,02;16;Tr;Tr;128;0,02;0;NA;;;0,1;0,03;0,04;Tr;41,3
214;Frutas e derivados;Laranja, pêra, crua;89,5;36;153;1;0,1;NA;8,9;0,8;0,3;21;8;0,05;22;0,1;Tr;162;0,03;0,1;NA;0;0;0,07;0,02;0,02;Tr;53,7
215;Frutas e derivados;Laranja, pêra, suco;91,3;32;136;0,7;0,1;NA;7,6;Tr;0,3;7;7;0,03;14;Tr;Tr;148;0,01;Tr;NA;1;0;Tr;Tr;Tr;Tr;73,3
216;Frutas e derivados;Laranja, valência, crua;86,9;46;192;0,8;0,2;NA;11,7;1,7;0,4;33;14;0,06;19;0,1;0;157;0,04;0,1;NA;;;0,07;0,04;0,03;Tr;47,8
217;Frutas e derivados;Laranja, valência, suco;90,5;36;151;0,5;0,1;NA;8,6;0,4;0,3;9;9;0,03;17;Tr;Tr;143;0,02;Tr;NA;2;1;*;*;0,03;Tr;*
218;Frutas e derivados;Limão, cravo, suco;94,2;14;59;0,3;Tr;NA;5,2;Tr;0,2;10;8;0,03;11;0,1;Tr;119;0,03;;NA;31;15;Tr;Tr;Tr;Tr;32,8
219;Frutas e derivados;Limão, galego, suco;91,8;22;92;0,6;0,1;NA;7,3;Tr;0,2;5;5;0,01;13;0,1;Tr;112;0,02;0,1;NA;;;Tr;Tr;0,03;Tr;34,5
220;Frutas e derivados;Limão, tahiti, cru;87,4;31;133;0,9;0,1;NA;11,1;1,2;0,4;50;9;0,07;23;0,2;1;128;0,06;0,2;NA;;;0,3;0,04;Tr;Tr;38,2
221;Frutas e derivados;Maçã, Argentina, com casca, crua;82,6;62;261;0,2;0,2;NA;16,6;2;0,3;3;4;0,01;11;0,1;1;117;0,03;Tr;NA;;;0,05;Tr;Tr;Tr;1,5
222;Frutas e derivados;Maçã, Fuji, com casca, crua;84,3;55;232;0,3;Tr;NA;15,2;1,3;0,2;1;2;0,03;9;0,1;Tr;74;0,06;Tr;NA;3;1;Tr;Tr;0,03;Tr;2,4
223;Frutas e derivados;Macaúba, crua;41,5;404;1691;2,1;40,7;NA;13,9;13,4;1,8;66;66;0,07;43;0,8;0;305;0,35;0,7;NA;1020;510;0,11;0,11;0,03;Tr;13,4
224;Frutas e derivados; Mamão, doce em calda, drenado;45,5;195;818;0,2;0,1;NA;54;1,3;0,2;20;5;0,02;4;0,1;2;68;0,02;0,1;NA;;;0,03;Tr;Tr;Tr;3,9
225;Frutas e derivados;Mamão, Formosa, cru;86,9;45;189;0,8;0,1;NA;11,6;1,8;0,6;24;17;0,04;10;0,2;3;221;1,36;0,1;NA;148;74;0,03;0,03;Tr;Tr;78,5
226;Frutas e derivados;Mamão, Papaia, cru;88,6;40;168;0,5;0,1;NA;10,4;1;0,4;22;22;0,01;10;0,2;1;126;0,02;0,1;NA;118;59;0,03;0,04;Tr;1,03;82,2
227;Frutas e derivados; Mamão verde, doce em calda, drenado;41,9;209;876;0,3;0,1;NA;57,6;1,2;0,1;12;4;0,04;3;0,2;4;8;0,01;0;NA;;;Tr;Tr;Tr;Tr;Tr
228;Frutas e derivados;Manga, Haden, crua;82,3;63;265;0,4;0,3;NA;16,7;1,6;0,4;11;7;0,17;9;0,1;0;147;0,1;0,1;NA;162;81;0,02;0,06;0,05;Tr;17,4
229;Frutas e derivados;Manga, Palmer, crua;79,7;72;303;0,4;0,2;NA;19,4;1,6;0,3;11;8;0,05;14;0,1;1;156;0,09;0,1;NA;786;393;0,09;0,03;Tr;Tr;65,5
230;Frutas e derivados;Manga, polpa, congelada;86,5;48;202;0,4;0,2;NA;12,5;1,1;0,4;7;9;0,12;9;0,1;6;131;0,06;0,1;NA;;;Tr;0,07;0,03;Tr;24,9
231;Frutas e derivados;Manga, Tommy Atkins, crua;85,8;50;212;0,9;0,2;NA;12,8;2,1;0,3;7;7;0,34;13;0,1;Tr;138;0,06;0,1;NA;118;59;Tr;0,04;0,03;Tr;7,9
232;Frutas e derivados;Maracujá, cru;82,9;68;286;2;2,1;NA;12,3;1,1;0,8;5;27;0,12;50;0,6;1;338;0,19;0,4;NA;114;57;Tr;0,05;0,05;Tr;19,8
233;Frutas e derivados;Maracujá, polpa, congelada;88,9;38;162;0,8;0,2;NA;9,6;0,5;0,5;4;9;0,07;15;0,3;8;227;0,05;0,2;NA;;;Tr;0,09;0,06;Tr;7,3
234;Frutas e derivados;Maracujá, suco concentrado, envasado;88,9;41;175;0,8;0,2;NA;9,6;0,4;0,5;4;4;0,07;13;0,3;21;200;0,05;0,1;NA;;;Tr;0,08;0,05;1,92;13,7
235;Frutas e derivados;Melancia, crua;90,7;32;136;0,9;Tr;NA;8,1;0,1;0,3;7;9;0,14;12;0,2;Tr;104;0,04;0,1;NA;61;30;Tr;Tr;Tr;Tr;6,1
236;Frutas e derivados;Melão, cru;91,3;29;122;0,7;Tr;NA;7,5;0,2;0,5;2;5;0,05;10;0,2;11;216;0,04;0,1;NA;2;1;Tr;Tr;0,02;Tr;8,7
237;Frutas e derivados;Mexerica, Murcote, crua;83,7;57;240;0,9;0,1;NA;14,9;3,1;0,5;33;12;0,05;19;0,1;1;158;0,06;0,1;NA;;;0,08;0,07;0,05;Tr;21,8
238;Frutas e derivados;Mexerica, Rio, crua;89,6;36;154;0,7;0,1;NA;9,3;2,7;0,3;17;8;0,04;13;0,1;1;124;0,07;0,2;NA;;;0,03;Tr;Tr;Tr;112
239;Frutas e derivados;Morango, cru;91,5;30;126;0,9;0,3;NA;6,8;1,7;0,5;10;9;0,33;22;0,3;Tr;184;0,06;0,2;NA;;;Tr;0,03;0,03;Tr;63,6
240;Frutas e derivados;Nêspera, crua;87,8;42;177;0,3;Tr;NA;11,5;3;0,4;19;9;0,07;10;0,1;Tr;112;0,12;0,1;NA;170;85;Tr;Tr;Tr;Tr;3,2
241;Frutas e derivados;Pequi, cru;65,9;204;857;2,3;18;NA;13;19;0,8;32;29;0,64;33;0,3;Tr;297;0,21;1;NA;60;30;0,17;0,48;0,06;2,57;8,3
242;Frutas e derivados;Pêra, Park, crua;83,2;60;253;0,2;0,2;NA;16,1;3;0,3;8;6;0,04;11;0,3;0;102;0,08;0,1;NA;;;0,06;Tr;Tr;Tr;2,4
243;Frutas e derivados;Pêra, Williams, crua;85;53;223;0,6;0,1;NA;14;3;0,3;8;5;0,04;11;0,1;Tr;115;0,07;0,1;NA; ; ;Tr;Tr;Tr;Tr;2,8
244;Frutas e derivados;Pêssego, Aurora, cru;89,3;36;151;0,8;Tr;NA;9,3;1,4;0,5;3;4;0,05;15;0,2;Tr;123;0,02;0,1;NA;;;0,05;Tr;Tr;Tr;3,3
245;Frutas e derivados;Pêssego, enlatado, em calda;82,2;63;264;0,7;Tr;NA;16,9;1;0,2;4;4;0,03;8;0,6;3;94;0,04;0,1;NA;47;23;Tr;Tr;Tr;Tr;Tr
246;Frutas e derivados;Pinha, crua;75;88;370;1,5;0,3;NA;22,4;3,4;0,7;20;30;0,15;34;0,2;1;283;0,11;0,2;NA;;;0,12;0,04;0,09;Tr;35,9
247;Frutas e derivados;Pitanga, crua;88,3;41;173;0,9;0,2;NA;10,2;3,2;0,4;17;12;0,36;13;0,4;1;113;0,08;0,4;NA;154;77;0,03;0,1;Tr;Tr;24,9
248;Frutas e derivados;Pitanga, polpa, congelada;94,6;19;79;0,3;0,1;NA;4,8;0,7;0,3;7;6;0,05;12;0,4;5;87;0,06;0,1;NA;145;72;Tr;Tr;Tr;Tr;Tr
249;Frutas e derivados;Romã, crua;84;55;233;0,4;Tr;NA;15,1;0,4;0,5;4;12;0,13;40;0,3;0;484;0,19;0,7;NA;;;0,12;0,17;0,05;Tr;8,1
250;Frutas e derivados;Tamarindo, cru;21,9;275;1153;3,2;0,5;NA;72,5;6,4;1,9;37;59;0,34;54;0,6;0;722;0,29;0,7;NA;;;0,31;Tr;0,1;Tr;7,2
251;Frutas e derivados;Tangerina, Poncã, crua;89,2;37;158;0,8;0,1;NA;9,6;0,9;0,3;12;7;0,04;12;0,1;Tr;131;0,03;Tr;NA;47;23;0,06;0,02;0,02;Tr;48,8
252;Frutas e derivados;Tangerina, Poncã, suco;90,4;36;150;0,5;Tr;NA;8,8;Tr;0,3;4;6;0,02;9;Tr;Tr;119;0,02;Tr;NA;51;25;0,06;Tr;0,03;Tr;41,8
